stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ADVENT,Advent Computer Services Ltd,Information Technology,Smallcap,Moderate Risk,bad
ADVITIYA,Advitiya Trade India Ltd,Industrials,Smallcap,High Risk,bad
ADVPETR-B,Advance Petrochemicals Ltd,Energy,Smallcap,Low Risk,bad
AEL,Amba Enterprises Ltd,Industrials,Smallcap,High Risk,bad
AFEL,A F Enterprises Ltd,Financials,Smallcap,Low Risk,bad
AFFLE,Affle (India) Ltd,Communication Services,Midcap,Moderate Risk,bad
AFFORDABLE,Affordable Robotic & Automation Ltd,Information Technology,Smallcap,High Risk,bad
AGARIND,Agarwal Industrial Corporation Ltd,Materials,Smallcap,High Risk,bad
AGCNET,AGC Networks Ltd,Information Technology,Smallcap,Moderate Risk,bad
AGIIL,AGI Infra Ltd,Real Estate,Smallcap,High Risk,bad
AGIOPAPER,Agio Paper & Industries Ltd,Materials,Smallcap,Moderate Risk,bad
AGOL,Ashapuri Gold Ornament Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AGRIMONY,Agrimony Commodities Ltd,Industrials,Smallcap,Moderate Risk,bad
AGRITECH,Agri-Tech (India) Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
AGROPHOS,Agro Phos India Ltd,Materials,Smallcap,Moderate Risk,bad
AHIMSA,Ahimsa Industries Ltd,Materials,Smallcap,Low Risk,bad
AHLADA,Ahlada Engineers Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AHLEAST,Asian Hotels East Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
AHLWEST,Asian Hotels (West) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AHMDSTE,Ahmedabad Steel Craft Ltd,Industrials,Smallcap,Moderate Risk,bad
AIAENG,AIA Engineering Ltd,Industrials,Midcap,Low Risk,bad
AICHAMP,Ai Champdany Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AIIL,Authum Investment & Infrastructure Ltd,Financials,Smallcap,High Risk,bad
AIMCOPEST,Aimco Pesticides Ltd,Materials,Smallcap,Moderate Risk,bad
AIML,Alliance Integrated Metaliks Ltd,Industrials,Smallcap,Low Risk,bad
AINFRA,A Infrastructure Ltd,Industrials,Smallcap,High Risk,bad
AIRAN,Airan Ltd,Information Technology,Smallcap,Moderate Risk,bad
AIROLAM,AiroLam Ltd,Industrials,Smallcap,High Risk,bad
AISL,ANI Integrated Services Ltd,Industrials,Smallcap,Moderate Risk,bad
AJANTSOY,Ajanta Soya Ltd,Consumer Staples,Smallcap,High Risk,bad
AJCON,Ajcon Global Services Ltd,Financials,Smallcap,Low Risk,bad
AJIL,Atlas Jewellery India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AJMERA,Ajmera Realty & Infra India Ltd,Real Estate,Smallcap,Moderate Risk,bad
AJOONI,Ajooni Biotech Ltd,Health Care,Smallcap,Moderate Risk,bad
AJWAFUN,Ajwa Fun World and Resort Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
AKASH,Akash Infra-Projects Ltd,Industrials,Smallcap,Moderate Risk,bad
AKASHDEEP,Akashdeep Metal Industries Ltd,Financials,Smallcap,Moderate Risk,bad
AKCAPIT,A K Capital Services Ltd,Financials,Smallcap,Moderate Risk,bad
AKG,AKG Exim Ltd,Industrials,Smallcap,High Risk,bad
AKI,AKI India Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AKM,AKM Lace and Embrotex Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AKSHAR,Akshar Spintex Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AKSHARCHEM,Aksharchem (India) Ltd,Materials,Smallcap,Moderate Risk,bad
AKSHOPTFBR,Aksh Optifibre Ltd,Information Technology,Smallcap,Moderate Risk,bad
AKZOINDIA,Akzo Nobel India Ltd,Materials,Smallcap,Low Risk,bad
ALAN SCOTT,Alan Scott Industriess Ltd,Communication Services,Smallcap,Low Risk,bad
ALANKIT,Alankit Ltd,Financials,Smallcap,Moderate Risk,bad
ALBERTDAVD,Albert David Ltd,Health Care,Smallcap,Moderate Risk,bad
ALCHEM,Alchemist Ltd,Health Care,Smallcap,High Risk,bad
ALEMBICLTD,Alembic Ltd,Health Care,Smallcap,Moderate Risk,bad
ALEXANDER,Alexander Stamps and Coin Ltd,Financials,Smallcap,Moderate Risk,bad
ALFAICA,Alfa Ica India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ALFATRAN,Alfa Transformers Ltd,Industrials,Smallcap,Moderate Risk,bad
ALFREDHE,Alfred Herbert (India) Ltd,Industrials,Smallcap,Moderate Risk,bad
ALICON,Alicon Castalloy Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ALKALI,Alkali Metals Ltd,Materials,Smallcap,Moderate Risk,bad
ALLCARGO,Allcargo Logistics Ltd,Industrials,Smallcap,Moderate Risk,bad
ALLSEC,Allsec Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
ALMONDZ,Almondz Global Securities Ltd,Financials,Smallcap,Moderate Risk,bad
ALOKINDS,Alok Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ALPA,Alpa Laboratories Ltd,Health Care,Smallcap,High Risk,bad
ALPHAGEO,Alphageo (India) Ltd,Energy,Smallcap,Moderate Risk,bad
ALPHALOGIC,Alphalogic Techsys Ltd,Information Technology,Smallcap,High Risk,bad
ALPINEHOU,Alpine Housing Development Corporation Limited,Real Estate,Smallcap,High Risk,bad
ALPSINDUS,Alps Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ALSL,Alacrity Securities Ltd,Financials,Smallcap,Moderate Risk,bad
ALUFLUOR,Alufluoride Ltd,Materials,Smallcap,High Risk,bad
AMAL,Amal Ltd,Materials,Smallcap,High Risk,bad
AMALGAM,Amalgamated Electricity Company Ltd,Industrials,Smallcap,Low Risk,bad
AMANITRA,Amani Trading and Exports Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
AMARAJABAT,Amara Raja Batteries Ltd,Industrials,Midcap,Low Risk,bad
AMARDEE,Amradeep Industries Ltd,Industrials,Smallcap,Low Risk,bad
AMARJOTHI,Amarjothi Spinning Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Health Care,Smallcap,Moderate Risk,bad
AMBANIORG,Ambani Organics Ltd,Materials,Smallcap,High Risk,bad
AMBER,Amber Enterprises India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AMBIKCO,Ambika Cotton Mills Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
AMBITION,Ambition Mica Ltd,Industrials,Smallcap,Moderate Risk,bad
AMBUJACEM,Ambuja Cements Ltd,Materials,Largecap,Low Risk,bad
AMDIND,AMD Industries Ltd,Materials,Smallcap,High Risk,bad
AMFL,A & M Febcon Ltd,Industrials,Smallcap,Moderate Risk,bad
AMFORG,Amforge Industries Ltd,Financials,Smallcap,Moderate Risk,bad
AMITINT,Amit International Ltd,Industrials,Smallcap,Moderate Risk,bad
AMJLAND,AMJ Land Holdings Ltd,Real Estate,Smallcap,Moderate Risk,bad
AMJUMBO,A and M Jumbo Bags Ltd,Materials,Smallcap,Moderate Risk,bad
AML,Ashoka Metcast Ltd,Industrials,Smallcap,High Risk,bad
AMNPLST,Amines and Plasticizers Ltd,Materials,Smallcap,Moderate Risk,bad
AMRAAGRI,Amraworld Agrico Ltd,Industrials,Smallcap,Low Risk,bad
AMRAFIN,Amrapali Fincap Ltd,Financials,Smallcap,Moderate Risk,bad
AMRAPLIN,Amrapali Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
AMRITCORP,Amrit Corp Ltd,Industrials,Smallcap,Moderate Risk,bad
AMRUTANJAN,Amrutanjan Health Care Ltd,Health Care,Smallcap,Moderate Risk,bad
AMTL,Advance Metering Technology Ltd,Industrials,Smallcap,Moderate Risk,bad
ANANTRAJ,Anant Raj Ltd,Real Estate,Smallcap,High Risk,bad
ANDHRACEMT,Andhra Cements Ltd,Materials,Smallcap,Moderate Risk,bad
ANDHRAPAP,Andhra Paper Ltd,Materials,Smallcap,Moderate Risk,bad
ANDHRAPET,Andhra Petrochemicals Ltd,Materials,Smallcap,Moderate Risk,bad
ANDHRSUGAR,Andhra Sugars Ltd,Materials,Smallcap,Moderate Risk,bad
ANDREWYU,Andrew Yule & Co Ltd,Industrials,Smallcap,Moderate Risk,bad
ANERI,Aneri Fincap Ltd,Financials,Smallcap,Moderate Risk,bad
ANG,ANG Lifesciences India Ltd,Health Care,Smallcap,High Risk,bad
ANGEL,Angel Fibers Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ANGELBRKG,Angel Broking Ltd,Financials,Smallcap,Moderate Risk,bad
ANIKINDS,Anik Industries Ltd,Industrials,Smallcap,High Risk,bad
ANJANI,Anjani Synthetics Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ANJANIFIN,Anjani Finance Ltd,Financials,Smallcap,Low Risk,bad
ANJANIFOODS,Anjani Foods Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ANKIN,Anka India Ltd,Information Technology,Smallcap,Moderate Risk,bad
ANKITMETAL,Ankit Metal & Power Ltd,Materials,Smallcap,High Risk,bad
ANMOL,Anmol India Ltd,Industrials,Smallcap,High Risk,bad
ANNAINFRA,Anna Infrastructures Ltd,Real Estate,Smallcap,Low Risk,bad
ANSALAPI,Ansal Properties and Infrastructure Ltd,Real Estate,Smallcap,Moderate Risk,bad
ANSALBU,Ansal Buildwell Ltd,Real Estate,Smallcap,High Risk,bad
ANSALHSG,Ansal Housing Ltd,Real Estate,Smallcap,Moderate Risk,bad
ANSINDUS,ANS Industries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
ANTGRAPHIC,Antarctica Ltd,Materials,Smallcap,High Risk,bad
ANUBHAV,Anubhav Infrastructure Ltd,Industrials,Smallcap,Moderate Risk,bad
ANUHPHR,Anuh Pharma Ltd,Health Care,Smallcap,High Risk,bad
ANUP,Anup Engineering Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ANUPAM,Anupam Finserv Ltd,Financials,Smallcap,High Risk,bad
ANURAS,Anupam Rasayan India Ltd,Materials,Smallcap,Moderate Risk,bad
APCL,Anjani Portland Cement Ltd,Materials,Smallcap,Moderate Risk,bad
APCOTEXIND,Apcotex Industries Ltd,Materials,Smallcap,High Risk,bad
APIL,AVI Products India Ltd,Industrials,Smallcap,Moderate Risk,bad
APLAB,Aplab Ltd,Information Technology,Smallcap,Moderate Risk,bad
APLLTD,Alembic Pharmaceuticals Ltd,Health Care,Midcap,Low Risk,bad
APMFINVEST,APM Finvest Ltd,Financials,Smallcap,High Risk,bad
APMIN,APM Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
APOLLO,Apollo Micro Systems Ltd,Information Technology,Smallcap,High Risk,bad
APOLLOFI,Apollo Finvest (India) Ltd,Financials,Smallcap,Moderate Risk,bad
APOLLOPIPE,Apollo Pipes Ltd,Industrials,Smallcap,Moderate Risk,bad
APOLLOTRI,Apollo Tricoat Tubes Ltd,Materials,Smallcap,Moderate Risk,bad
APOLSINHOT,Apollo Sindoori Hotels Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
APTECHT,Aptech Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ARAMBHAN,Arambhan Hospitality Services Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ARAVALIS,Aravali Securities and Finance Ltd,Financials,Smallcap,Moderate Risk,bad
ARCEEIN,Arcee Industries Ltd,Materials,Smallcap,Moderate Risk,bad
ARCFIN,ARC Finance Ltd,Financials,Smallcap,Low Risk,bad
ARCHIDPLY,Archidply Industries Ltd,Materials,Smallcap,High Risk,bad
ARCHIES,Archies Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ARCHITORG,Archit Organosys Ltd,Materials,Smallcap,Moderate Risk,bad
ARCOTECH,Arcotech Ltd,Materials,Smallcap,Moderate Risk,bad
ARENTERP,Rajdarshan Industries Ltd,Materials,Smallcap,Moderate Risk,bad
AREXMIS,Arex Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AREYDRG,Aarey Drugs and Pharmaceuticals Ltd,Health Care,Smallcap,High Risk,bad
ARFIN,Arfin India Ltd,Materials,Smallcap,High Risk,bad
ARHNTTO,Arihant Tournesol Ltd,Consumer Staples,Smallcap,Low Risk,bad
ARIES,Aries Agro Ltd,Materials,Smallcap,Moderate Risk,bad
ARIHANT,Arihant Foundations & Housing Ltd,Real Estate,Smallcap,Moderate Risk,bad
ARIHANTSUP,Arihant Superstructures Ltd,Real Estate,Smallcap,Moderate Risk,bad
ARIHCAPM,Arihant Capital Markets Ltd,Financials,Smallcap,High Risk,bad
ARISE,Arihant's Securities Ltd,Financials,Smallcap,Moderate Risk,bad
ARL,Anand Rayons Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ARMAN,Arman Holdings Ltd,Financials,Smallcap,Low Risk,bad
ARMANFIN,Arman Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
ARNOLD,Arnold Holdings Ltd,Financials,Smallcap,Moderate Risk,bad
AROGRANITE,Aro Granite Industries Ltd,Industrials,Smallcap,High Risk,bad
AROMAENT,Aroma Enterprises (India) Ltd,Consumer Staples,Smallcap,Low Risk,bad
ARROWGREEN,Arrow Greentech Ltd,Materials,Smallcap,Moderate Risk,bad
ARSHIYA,Arshiya Ltd,Industrials,Smallcap,Moderate Risk,bad
ARSSINFRA,ARSS Infrastructure Projects Ltd,Industrials,Smallcap,Moderate Risk,bad
ARTEDZ,Artedz Fabs Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ARTEFACT,Artefact Projects Ltd,Industrials,Smallcap,Moderate Risk,bad
ARTEMISELC,Artemis Electricals Ltd,Industrials,Smallcap,Moderate Risk,bad
ARTEMISMED,Artemis Medicare Services Ltd,Industrials,Smallcap,Moderate Risk,bad
ARTNIRMAN,Art Nirman Ltd,Real Estate,Smallcap,High Risk,bad
ARTSONEN,Artson Engineering Ltd,Industrials,Smallcap,High Risk,bad
ARUNAHTEL,Aruna Hotels Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ARUNIS,Arunis Abode Ltd,Financials,Smallcap,Moderate Risk,bad
ARVEE,Arvee Laboratories (India) Ltd,Materials,Smallcap,High Risk,bad
ARVINDFASN,Arvind Fashions Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ARVSMART,Arvind Smartspaces Ltd,Real Estate,Smallcap,High Risk,bad
ARYACAPM,Aryaman Capital Markets Ltd,Financials,Smallcap,High Risk,bad
ARYAMAN,Aryaman Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
ARYAN,Aryan Share & Stock Brokers Ltd,Financials,Smallcap,Low Risk,bad
ASAHIIND,Asahi Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
ASAHISONG,Asahi Songwon Colors Lucky Laminates Ltd,Materials,Smallcap,High Risk,bad
ASAL,Automotive Stampings and Assemblies Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ASALCBR,Associated Alcohols & Breweries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
ASCOM,Ascom Leasing & Investments Ltd,Financials,Smallcap,High Risk,bad
ASHAI,Ashiana Agro Industries Ltd,Financials,Smallcap,Low Risk,bad
ASHAPURMIN,Ashapura Minechem Ltd,Materials,Smallcap,Moderate Risk,bad
ASHCAP,Ashirwad Capital Ltd,Financials,Smallcap,High Risk,bad
ASHFL,Akme Star Housing Finance Ltd,Financials,Smallcap,High Risk,bad
ASHIANA,Ashiana Housing Ltd,Real Estate,Smallcap,Moderate Risk,bad
ASHIKACR,Ashika Credit Capital Ltd,Financials,Smallcap,High Risk,bad
ASHIMASYN,Ashima Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ASHIS,Ashiana Ispat Ltd,Materials,Smallcap,Moderate Risk,bad
ASHISHPO,Ashish Polyplast Ltd,Industrials,Smallcap,Moderate Risk,bad
ASHNI,Ashnisha Industries Ltd,Materials,Smallcap,Moderate Risk,bad
ASHNOOR,Ashnoor Textile Mills Ltd,Consumer Discretionary,Smallcap,High Risk,bad
ASHOKALC,Ashok Alco-Chem Ltd,Materials,Smallcap,High Risk,bad
ASHOKRE,Ashoka Refineries Ltd,Energy,Smallcap,Low Risk,bad
ASHRAM,Ashram Online Com Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ASIANHOTNR,Asian Hotels (North) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ASIANOI,Asian Energy Services Ltd,Energy,Smallcap,Moderate Risk,bad
ASIANPAINT,Asian Paints Ltd,Materials,Largecap,Low Risk,bad
ASIANTILES,Asian Granito India Ltd,Industrials,Smallcap,Moderate Risk,bad
ASIAPAK,Asia Pack Ltd,Real Estate,Smallcap,Low Risk,bad
ASIIL,ASI Industries Ltd,Materials,Smallcap,High Risk,bad
ASINPET,Asian Petro Products and Exporters Ltd,Materials,Smallcap,Low Risk,bad
ASITCFIN,Asit C Mehta Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
ASLIND,ASL Industries Ltd,Industrials,Smallcap,High Risk,bad
ASMTEC,ASM Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
ASPINWALL,Aspinwall & Co Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
ASRL,Add-Shop E-Retail Ltd,Consumer Staples,Smallcap,High Risk,bad
ASTAR,Asian Star Co Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
ASTRAL,Astral Poly Technik Ltd,Industrials,Midcap,Moderate Risk,bad
ASTRAMICRO,Astra Micro Wave Products Ltd,Information Technology,Smallcap,Moderate Risk,bad
ASTRAZEN,Astrazeneca Pharma India Ltd,Health Care,Smallcap,Moderate Risk,bad
ASTRON,Astron Paper & Board Mill Ltd,Materials,Smallcap,Moderate Risk,bad
ASYAINFO,Asya Infosoft Ltd,Information Technology,Smallcap,High Risk,bad
ASYL,Advance Syntex Ltd,Materials,Smallcap,High Risk,bad
ATALREAL,Atal Realtech Ltd,Industrials,Smallcap,High Risk,bad
ATGL,Adani Total Gas Ltd,Utilities,Largecap,High Risk,bad
ATHARVENT,Atharv Enterprises Ltd,Industrials,Smallcap,Moderate Risk,bad
ATHCON,Athena Constructions Ltd,Real Estate,Smallcap,Low Risk,bad
ATHENAGLO,Athena Global Technologies Ltd,Information Technology,Smallcap,High Risk,bad
ATISHAY,Atishay Ltd,Information Technology,Smallcap,High Risk,bad
ATLANTA,Atlanta Ltd,Industrials,Smallcap,Moderate Risk,bad
ATLASCYCLE,Atlas Cycles Haryana Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ATNINTER,ATN International Ltd,Financials,Smallcap,High Risk,bad
ATUL,Atul Ltd,Materials,Midcap,Low Risk,bad
ATVPR,ATV Projects India Ltd,Industrials,Smallcap,Moderate Risk,bad
AURDIS,Aurangabad Distillery Ltd,Consumer Staples,Smallcap,High Risk,bad
AURIONPRO,Aurionpro Solutions Ltd,Information Technology,Smallcap,High Risk,bad
AUROLAB,Auro Laboratories Ltd,Health Care,Smallcap,High Risk,bad
AUSOMENT,Ausom Enterprise Ltd,Industrials,Smallcap,High Risk,bad
AUSTENG,Austin Engineering Company Ltd,Industrials,Smallcap,High Risk,bad
AUTOAXLES,Automotive Axles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AUTOIND,Autoline Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
AUTOLITIND,Autolite India Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AVADHSUGAR,Avadh Sugar & Energy Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
AVANTEL,Avantel Ltd,Information Technology,Smallcap,Moderate Risk,bad
AVG,AVG Logistics Ltd,Industrials,Smallcap,High Risk,bad
AVI,AVI Polymers Ltd,Industrials,Smallcap,Low Risk,bad
AVIVA,Aviva Industries Ltd,Industrials,Smallcap,Low Risk,bad
AVL,Aditya Vision Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AVONLIFE,KOBO Biotech Ltd,Health Care,Smallcap,High Risk,bad
AVONMORE,Avonmore Capital & Management Services Ltd,Financials,Smallcap,High Risk,bad
AVSL,AVSL Industries Ltd,Materials,Smallcap,High Risk,bad
AVTNPL,AVT Natural Products Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
AXELPOLY,Axel Polymers Ltd,Materials,Smallcap,Moderate Risk,bad
AXITA,Axita Cotton Ltd,Consumer Discretionary,Smallcap,High Risk,bad
AXTEL,Axtel Industries Ltd,Industrials,Smallcap,Moderate Risk,bad
AYMSYNTEX,AYM Syntex Ltd,Consumer Discretionary,Smallcap,High Risk,bad
BABA,Baba Arts Ltd,Communication Services,Smallcap,High Risk,bad
BABAFOOD,Baba Agro Food Ltd,Consumer Staples,Smallcap,High Risk,bad
BACPHAR,Bacil Pharma Ltd,Health Care,Smallcap,Moderate Risk,bad
BAFNAPH,Bafna Pharmaceuticals Ltd,Health Care,Smallcap,High Risk,bad
BAGFILMS,B.A.G. Films and Media Ltd,Communication Services,Smallcap,Moderate Risk,bad
BAJAJHCARE,Bajaj Healthcare Ltd,Health Care,Smallcap,Moderate Risk,bad
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
BAJAJHLDNG,Bajaj Holdings and Investment Ltd,Financials,Largecap,Low Risk,bad
BAJAJST,Bajaj Steel Industries Ltd,Industrials,Smallcap,High Risk,bad
