stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion,stock_ticker_url
AMDIND,AMD Industries Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/amd-industries-AMDM?checklist=basic
AMJLAND,AMJ Land Holdings Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/amj-land-holdings-AMJL?checklist=basic
AMS,AMS Polymers Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ams-polymers-AMM?checklist=basic
ANGIND,ANG Industries Ltd,Consumer Discretionary,nocap,High Risk,bad,https://www.tickertape.in/stocks/ang-industries-ANGI?checklist=basic
ANG,ANG Lifesciences India Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/ang-lifesciences-india-ANA?checklist=basic
AISL,ANI Integrated Services Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ani-integrated-services-ANII?checklist=basic
ANSINDUS,ANS Industries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ans-industries-ANS?checklist=basic
APLAPOLLO,APL Apollo Tubes Ltd,Industrials,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/apl-apollo-tubes-APLA?checklist=basic
APMFINVEST,APM Finvest Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/apm-finvest-APM?checklist=basic
APMIN,APM Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/apm-industries-APMI?checklist=basic
ARCFIN,ARC Finance Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/a-r-c-finance-ARC?checklist=basic
ARSSINFRA,ARSS Infrastructure Projects Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/arss-infrastructure-projects-ARSS?checklist=basic
ASIIL,ASI Industries Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/asi-industries-ASO?checklist=basic
ASLIND,ASL Industries Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/asl-industries-ASLI?checklist=basic
ASMTEC,ASM Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/asm-technologies-ASM?checklist=basic
ATNINTER,ATN International Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/atn-international-ASGM?checklist=basic
ATVPR,ATV Projects India Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/atv-projects-india-ATVP?checklist=basic
AUBANK,AU Small Finance Bank Ltd,Financials,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/au-small-finance-bank-AUFI?checklist=basic
AVG,AVG Logistics Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/avg-logistics-AVGL?checklist=basic
AVI,AVI Polymers Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/avi-polymers-AVI?checklist=basic
APIL,AVI Products India Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/avi-products-india-APIL?checklist=basic
AVSL,AVSL Industries Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/avsl-industries-AVSL?checklist=basic
AVTNPL,AVT Natural Products Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/avt-natural-products-AVTN?checklist=basic
AYMSYNTEX,AYM Syntex Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aym-syntex-AYMS?checklist=basic
AAKASH,Aakash Exploration Services Ltd,Energy,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aakash-exploration-services-AAKA?checklist=basic
AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/aananda-lakshmi-spinning-mills-AANA?checklist=basic
AANCHALISP,Aanchal Ispat Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aanchal-ispat-AAN?checklist=basic
RBGUPTA,Aarcon Facilities Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aarcon-facilities-RBG?checklist=basic
AREYDRG,Aarey Drugs and Pharmaceuticals Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aarey-drugs-and-pharmaceuticals-AREY?checklist=basic
AARNAV,Aarnav Fashions Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aarnav-fashions-AARNA?checklist=basic
AARON,Aaron Industries Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aaron-industries-AARN?checklist=basic
AARTECH,Aartech Solonics Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/aartech-solonics-AAR?checklist=basic
AARTIDRUGS,Aarti Drugs Ltd,Health Care,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/aarti-drugs-ADRG?checklist=basic
AARTIIND,Aarti Industries Ltd,Materials,Midcap,Low Risk,good,https://www.tickertape.in/stocks/aarti-industries-ARTI?checklist=basic
AARTISURF,Aarti Surfactants Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aarti-surfactants-AARU?checklist=basic
AARVEEDEN,Aarvee Denims and Exports Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aarvee-denims-and-exports-AADM?checklist=basic
AARVI,Aarvi Encon Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aarvi-encon-AARI?checklist=basic
ASWTR,Aaswa Trading and Exports Ltd,Consumer Discretionary,nocap,Low Risk,bad,https://www.tickertape.in/stocks/aaswa-trading-and-exports-ASW?checklist=basic
AAVAS,Aavas Financiers Ltd,Financials,Midcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aavas-financiers-AVAS?checklist=basic
AAYUSH,Aayush Food and Herbs Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aayush-food-and-herbs-AAY?checklist=basic
ABAN,Aban Offshore Ltd,Energy,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aban-offshore-ABAN?checklist=basic
ABANSENT,Abans Enterprises Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/abans-enterprises-ABA?checklist=basic
ABBOTINDIA,Abbott India Ltd,Health Care,Midcap,Low Risk,good,https://www.tickertape.in/stocks/abbott-india-ABOT?checklist=basic
ABHIJIT,Abhijit Trading Co Ltd,Financials,nocap,High Risk,bad,https://www.tickertape.in/stocks/abhijit-trading-company-ABH?checklist=basic
ABHICAP,Abhinav Capital Services Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/abhinav-capital-services-ABHIC?checklist=basic
ALFL,Abhinav Leasing & Finance Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/abhinav-leasing-and-finance-ALF?checklist=basic
ABHIFIN,Abhishek Finlease Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/abhishek-finlease-ABHIF?checklist=basic
ABHIINFRA,Abhishek Infraventures Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/abhishek-infraventures-ABHI?checklist=basic
ABIRAFN,Abirami Financial Services (India) Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/abirami-financial-services-india-ABI?checklist=basic
ABMINTLTD,Abm International Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/abm-international-ABMN?checklist=basic
ACCEL,Accel Ltd,Communication Services,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/accel-ACCE?checklist=basic
ACCELYA,Accelya Solutions India Ltd,Information Technology,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/accelya-solutions-india-ACCY?checklist=basic
ACCORD,Accord Synergy Ltd,Communication Services,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/accord-synergy-ACCO?checklist=basic
ACCURACY,Accuracy Shipping Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/accuracy-shipping-ACCU?checklist=basic
ACEINTEG,Ace Integrated Solutions Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ace-integrated-solutions-ACEN?checklist=basic
ACEMEN,Ace men engg works Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ace-men-engg-works-ACE?checklist=basic
ACEWIN,Acewin Agriteck Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/acewin-agriteck-ACEW?checklist=basic
ACKNIT,Acknit Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/acknit-industries-ACK?checklist=basic
ACME,Acme Resources Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/acme-resources-ACME?checklist=basic
ACROW,Acrow India Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/acrow-india-ACRO?checklist=basic
ACRYSIL,Acrysil Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/acrysil-ACR?checklist=basic
ACE,Action Construction Equipment Ltd,Industrials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/action-construction-equipment-ACEL?checklist=basic
ACTIVE,Active Clothing Co Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/active-clothing-co-ACT?checklist=basic
ADANIENT,Adani Enterprises Ltd,Industrials,Largecap,Moderate Risk,bad,https://www.tickertape.in/stocks/adani-enterprises-ADEL?checklist=basic
ADANIGREEN,Adani Green Energy Ltd,Utilities,Largecap,Moderate Risk,bad,https://www.tickertape.in/stocks/adani-green-energy-ADNA?checklist=basic
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Industrials,Largecap,Low Risk,good,https://www.tickertape.in/stocks/adani-ports-and-special-economic-zone-APSE?checklist=basic
ADANIPOWER,Adani Power Ltd,Utilities,Midcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adani-power-ADAN?checklist=basic
ATGL,Adani Total Gas Ltd,Utilities,Largecap,High Risk,bad,https://www.tickertape.in/stocks/adani-gas-ADAG?checklist=basic
ADANITRANS,Adani Transmission Ltd,Utilities,Largecap,Moderate Risk,bad,https://www.tickertape.in/stocks/adani-transmission-ADAI?checklist=basic
ADARSH,Adarsh Mercantile Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/adarsh-mercantile-ADA?checklist=basic
ADARSHPL,Adarsh Plant Protect Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adarsh-plant-protect-ADAR?checklist=basic
ADCON,Adcon Capital Services Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/adcon-capital-services-ADC?checklist=basic
ASRL,Add-Shop E-Retail Ltd,Consumer Staples,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/add-shop-e-retail-ASR?checklist=basic
ADDIND,Addi Industries Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/addi-industries-ADD?checklist=basic
ADHARSHILA,Adharshila Capital Services Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/adharshila-capital-services-ADHA?checklist=basic
ADHIRAJ,Adhiraj Distributors Ltd,Unknown,nocap,High Risk,bad,https://www.tickertape.in/stocks/adhiraj-distributors-ADH?checklist=basic
ADHUNIKIND,Adhunik Industries Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/adhunik-industries-ADNK?checklist=basic
ADIEXRE,Adinath Exim Resources Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adinath-exim-resources-ADIE?checklist=basic
ADINATH,Adinath Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adinath-textiles-ADIN?checklist=basic
ADITRI,Aditri Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aditri-industries-ADI?checklist=basic
ABCAPITAL,Aditya Birla Capital Ltd,Financials,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/aditya-birla-capital-ADTB?checklist=basic
ABFRLPP1,Aditya Birla Fashion & Retail Ltd Partly Paidup,Unknown,nocap,High Risk,bad,https://www.tickertape.in/stocks/aditya-birla-fashion-and-retail-partly-paidup-ABF?checklist=basic
ABFRL,Aditya Birla Fashion and Retail Ltd,Consumer Discretionary,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/aditya-birla-fashion-and-retail-ADIA?checklist=basic
BIRLAMONEY,Aditya Birla Money Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aditya-birla-money-ABML?checklist=basic
ACML,Aditya Consumer Marketing Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aditya-consumer-marketing-ACM?checklist=basic
ADITYA,Aditya Ispat Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aditya-ispat-ADITY?checklist=basic
ADITYASP,Aditya Spinners Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aditya-spinners-ADIT?checklist=basic
AVL,Aditya Vision Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/aditya-vision-AVL?checklist=basic
ADJIA,Adjia Technologies Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/adjia-technologies-ADJ?checklist=basic
ADORFO,Ador Fontech Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ador-fontech-ADO?checklist=basic
ADORMUL,Ador Multi Products Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ador-multi-products-ADORM?checklist=basic
ADORWELD,Ador Welding Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ador-welding-ADOR?checklist=basic
ADROITINFO,Adroit Infotech Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/adroit-infotech-AROI?checklist=basic
ADVAIT,Advait Infratech Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/advait-infratech-ADVA?checklist=basic
AMTL,Advance Metering Technology Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/advance-metering-technology-AMTL?checklist=basic
ADVPETR-B,Advance Petrochemicals Ltd,Energy,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/advance-petrochemicals-ADVPE?checklist=basic
ASYL,Advance Syntex Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/advance-syntex-ASY?checklist=basic
ADVENZYMES,Advanced Enzyme Technologies Ltd,Materials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/advanced-enzyme-technologies-ADEN?checklist=basic
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/advani-hotels-and-resorts-india-ADHO?checklist=basic
ADVENT,Advent Computer Services Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/advent-computer-services-ADVE?checklist=basic
ADVIKCA,Advik Capital Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/advik-capital-ADVI?checklist=basic
ADVITIYA,Advitiya Trade India Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/advitiya-trade-india-ADV?checklist=basic
AEGISCHEM,Aegis Logistics Ltd,Energy,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/aegis-logistics-AEGS?checklist=basic
AFFLE,Affle (India) Ltd,Communication Services,Midcap,Moderate Risk,bad,https://www.tickertape.in/stocks/affle-india-AFFL?checklist=basic
AFFORDABLE,Affordable Robotic & Automation Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/affordable-robotic-and-automation-AFF?checklist=basic
AGARIND,Agarwal Industrial Corporation Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/agarwal-industrial-corporation-AGWL?checklist=basic
AGIOPAPER,Agio Paper & Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/agio-paper-and-industries-AGIO?checklist=basic
AGRITECH,Agri-Tech (India) Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/agri-tech-india-AGTL?checklist=basic
AGRIMONY,Agrimony Commodities Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/agrimony-commodities-AGR?checklist=basic
AGROPHOS,Agro Phos India Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/agro-phos-india-AGRP?checklist=basic
ATFL,Agro Tech Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/agro-tech-foods-AGRO?checklist=basic
AHIMSA,Ahimsa Industries Ltd,Materials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ahimsa-industries-AHIN?checklist=basic
AHLADA,Ahlada Engineers Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/ahlada-engineers-AHLA?checklist=basic
AHLUCONT,Ahluwalia Contracts (India) Ltd,Industrials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/ahluwalia-contracts-india-AHLU?checklist=basic
AHMDSTE,Ahmedabad Steel Craft Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ahmedabad-steelcraft-AHM?checklist=basic
AICHAMP,Ai Champdany Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/ai-champdany-industries-AICI?checklist=basic
AIMCOPEST,Aimco Pesticides Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aimco-pesticides-AIMC?checklist=basic
AIRAN,Airan Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/airan-AIRA?checklist=basic
AIROLAM,AiroLam Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/airolam-AIRO?checklist=basic
AISHWARYA,Aishwarya Technologies and Telecom Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aishwarya-technologies-and-telecom-AIS?checklist=basic
AJANTPHARM,Ajanta Pharma Ltd,Health Care,Midcap,Low Risk,good,https://www.tickertape.in/stocks/ajanta-pharma-AJPH?checklist=basic
AJANTSOY,Ajanta Soya Ltd,Consumer Staples,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/ajanta-soya-AJA?checklist=basic
AJCON,Ajcon Global Services Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ajcon-global-services-AJC?checklist=basic
AJEL,Ajel Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ajel-AJE?checklist=basic
AJMERA,Ajmera Realty & Infra India Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ajmera-realty-and-infra-india-AJME?checklist=basic
AJOONI,Ajooni Biotech Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/ajooni-biotech-AJOO?checklist=basic
AJWAFUN,Ajwa Fun World and Resort Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/ajwa-fun-world-and-resort-AJW?checklist=basic
AAIL,Akar Auto Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/akar-auto-industries-AAI?checklist=basic
AKASH,Akash Infra-Projects Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/akash-infra-projects-AKAS?checklist=basic
AKASHDEEP,Akashdeep Metal Industries Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/akashdeep-metal-industries-AKA?checklist=basic
ASHFL,Akme Star Housing Finance Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/akme-star-housing-finance-ASHF?checklist=basic
AKSHOPTFBR,Aksh Optifibre Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aksh-optifibre-AKSO?checklist=basic
AKSHAR,Akshar Spintex Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/akshar-spintex-AKS?checklist=basic
AKSHARCHEM,Aksharchem (India) Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/aksharchem-india-AKSH?checklist=basic
AKZOINDIA,Akzo Nobel India Ltd,Materials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/akzo-nobel-india-AKZO?checklist=basic
ALSL,Alacrity Securities Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alacrity-securities-ALSA?checklist=basic
ALAN SCOTT,Alan Scott Industriess Ltd,Communication Services,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/alan-scott-industries-ALAN?checklist=basic
ALANKIT,Alankit Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alankit-ALAK?checklist=basic
ALBERTDAVD,Albert David Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/albert-david-ALBD?checklist=basic
ALCHCORP,Alchemist Corporation Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alchemist-corporation-ALC?checklist=basic
ALCHEM,Alchemist Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/alchemist-ALCL?checklist=basic
AREALTY,Alchemist Realty Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alchemist-realty-ARE?checklist=basic
ALEMBICLTD,Alembic Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alembic-ALMC?checklist=basic
APLLTD,Alembic Pharmaceuticals Ltd,Health Care,Midcap,Low Risk,bad,https://www.tickertape.in/stocks/alembic-pharmaceuticals-ALEM?checklist=basic
ALEXANDER,Alexander Stamps and Coin Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alexander-stamps-and-coin-ALE?checklist=basic
ALFAICA,Alfa Ica India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alfa-ica-india-ALFAI?checklist=basic
ALFATRAN,Alfa Transformers Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alfa-transformers-ALFAT?checklist=basic
ALFAVIO,Alfavision Overseas (India) Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/alfavision-overseas-ALFA?checklist=basic
ALFREDHE,Alfred Herbert (India) Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/alfred-herbert-india-ALFR?checklist=basic
